,exp,time_win (h),link_type,pv/effect,c3pMOD,wDIA,cwDEH,wDEN,CLS,c3pMOD_std_error,wDIA_std_error,cwDEH_std_error,wDEN_std_error,CLS_std_error
13,DIA,2,#inter,effect,-0.06620029563058069,0.0012582611010397119,-0.007937756527454978,-0.026075876782305236,-0.055893889724219346,0.020325628777381963,0.023867452057685392,0.01380756763058403,0.020325130853492884,0.022271862495619923
14,DIA,3,#inter,pv,0.0111375619331368,0.9994344637692153,0.6704921646339341,0.4021850490208396,0.0111375619331368,,,,,
15,DIA,3,#inter,effect,-0.07181677758094472,2.275223649521848e-05,-0.009281754177951101,-0.026185920904750453,-0.07646692725977568,0.024174648895036486,0.03500327254977737,0.014870897675681375,0.023352476867819355,0.025043403191022183
16,DIA,4,#inter,pv,0.008430406996620815,0.4090324414413585,0.44616194825582933,0.4134193783455467,0.0019161975341744158,,,,,
17,DIA,4,#inter,effect,-0.08990887579471081,0.03872668889290118,-0.012741566127887717,-0.027101379509343215,-0.12944718162370294,0.029158558677929235,0.03528393566955427,0.016373974675120702,0.027069226971452927,0.031565760081310054
18,DIA,6,#inter,pv,0.03702498960884678,0.3640583116426213,0.6788128648382378,0.5821505773232895,0.00042210290536825025,,,,,
19,DIA,6,#inter,effect,-0.09404281404464158,0.04525983351177278,-0.008015496145696197,-0.026162703592373972,-0.1426440686864385,0.03434237604425103,0.039163531329453403,0.01801774273741772,0.03165279214865364,0.03686410355884327
20,DEN,1,#inter,pv,0.20314542013658307,0.8238249611677002,0.8238249611677002,2.8505491905988204e-05,0.01557843889964236,,,,,
21,DEN,1,#inter,effect,0.020957833168575416,0.0038693905408319013,0.0026727314143000507,-0.020034588308999658,0.038286255502008204,0.013728787685779602,0.01721755746896607,0.011586051466489852,0.01389404607965425,0.013622730381127952
22,DEN,2,#inter,pv,0.8880359595146425,0.6496061749771788,0.6496061749771788,0.00044759342246629137,0.6496061749771788,,,,,
23,DEN,2,#inter,effect,-0.0025026992836255893,0.014898276526346909,0.012519226804026711,-0.019636592517829336,0.017784756470543513,0.018099736846954876,0.02128588267264128,0.014177371843273433,0.016685817667937388,0.02105083771213012
24,DEN,3,#inter,pv,0.6635876094698825,0.5927403893076931,0.5927403893076931,0.0012338119818895723,0.5927403893076931,,,,,
25,DEN,3,#inter,effect,-0.009427183851901347,-0.025234719922918883,0.013933357316245747,-0.019602619742318098,0.02038307808402302,0.023062417052684102,0.026245231818798207,0.017269793753293853,0.019075413684291557,0.030936879320995307
26,DEN,4,#inter,pv,0.6990313096397348,0.6278408876544304,0.6278408876544304,0.011099888001976015,0.6278408876544304,,,,,
27,DEN,4,#inter,effect,-0.008986908258631297,0.02033415458404037,0.020762659756141506,-0.019556857330953477,0.02263555321476568,0.025948925203050657,0.02702533946900303,0.018711373417493977,0.0216933764323331,0.03451231240137029
28,DEN,6,#inter,pv,0.5467556724929147,0.7786839933455865,0.6384801012400187,0.03056987908282116,0.7786839933455865,,,,,
29,DEN,6,#inter,effect,-0.03627503313595893,-0.009958596796720197,0.01814222821592221,-0.01961878232641964,-0.015727257443204017,0.03290767771386117,0.03572698870145069,0.020273264254309656,0.024583704139788408,0.048710287470643175
30,DEH,1,#inter,pv,0.9534870586403406,0.7116908125220861,0.2201071705576323,0.9273257590235604,0.9273257590235604,,,,,
31,DEH,1,#inter,effect,0.0009312871789981097,0.019850770113603054,0.02922727495170764,0.017041259297043223,-0.00824858786646862,0.014847914176969927,0.019600129773628325,0.015830068875228493,0.018527078890790666,0.01762843665470758
32,DEH,2,#inter,pv,0.5391468978815614,0.5391468978815614,0.5270336820315201,0.6614754934381083,0.024602617721908138,,,,,
33,DEH,2,#inter,effect,0.017538436645656064,0.022521250859028386,0.022955770527712128,0.017355726137067377,-0.0783202712436725,0.019517601465799117,0.02866596128415172,0.020222233696469475,0.02442877013791075,0.02630102808332192
34,DEH,3,#inter,pv,0.5437416995923613,0.6058425783339876,0.5437416995923613,0.6739184404161902,0.5437416995923613,,,,,
35,DEH,3,#inter,effect,0.025039175304665515,0.019680403268767535,0.02600456382552127,0.01953628242527493,-0.044435470343360976,0.023241842630297285,0.029928178757558762,0.024659716158958067,0.02908480005620641,0.03987526381639009
36,DEH,4,#inter,pv,0.3413239092462593,0.7645171899232418,0.4034488015941284,0.7645171899232418,0.4034488015941284,,,,,
37,DEH,4,#inter,effect,0.05068017369207064,0.012568265608721735,0.02951307369600603,0.01995077172134839,-0.051365118519593446,0.026728829274288244,0.03455369748459309,0.027590711780750645,0.03452130886242044,0.045389915680493546
38,DEH,6,#inter,pv,0.3221290494428397,0.9442947744873245,0.6862389535221447,0.9442947744873245,0.9442947744873245,,,,,
39,DEH,6,#inter,effect,0.06354546406287026,-0.013209882551147745,0.033413409060023345,0.019497764164421203,-0.004042835078845824,0.03555200589360734,0.035383661456338186,0.03329523051556049,0.04169942943225262,0.06694760784275351
