,exp,time_win,link_type,pv/effect,cMOD,partition,wDIA,cwDEH,wDEN
31,MOD,6,#inter,effect,-0.00677292542004078,-0.3181818181818182,0.1401466586286633,20.905824749346447,2.5313705016621997e-05
32,DIA,1,length_inter,pv,0.537201718173228,0.537201718173228,0.024403208976124382,3.036907869069336e-05,0.537201718173228
33,DIA,1,length_inter,effect,-0.004737959715842756,-0.07575757575757576,-0.7699318055429655,-136.10732119498678,-4.961374334789208e-05
34,DIA,2,length_inter,pv,0.7664812266190247,0.7560581520900511,0.09544375377388482,0.0013371846180281525,0.7560581520900511
35,DIA,2,length_inter,effect,0.0022040985891358844,-0.09090909090909091,-0.8263590557533328,-258.4603041596078,-4.952089103896361e-05
36,DIA,4,length_inter,pv,0.5417215825972909,0.5417215825972909,0.3630852911481207,0.06897226159020166,0.7154378099960075
37,DIA,4,length_inter,effect,0.00694733101384304,-0.18181818181818182,-0.8958085235151987,-453.96405149540146,-4.954738987756165e-05
38,DIA,6,length_inter,pv,0.7670446833395703,0.4646842351765384,0.4646842351765384,0.16722916812857122,0.7709281851564234
39,DIA,6,length_inter,effect,0.004422356668312657,-0.2727272727272727,-0.7864227114277291,-669.7249589432777,-4.951905023444969e-05
40,DEH,1,length_inter,pv,0.3317262959073601,0.49608663262056824,0.7776512598376596,0.0026250466342277673,0.20517079215047102
41,DEH,1,length_inter,effect,-0.008707692546771693,0.1111111111111111,0.08913305598382472,-97.90226982503538,-0.00013002881823167203
42,DEH,2,length_inter,pv,0.16125376398812558,0.9104199976961838,0.5157871139018968,0.024391081437829514,0.33008446241481676
43,DEH,2,length_inter,effect,-0.013597486508890878,0.018518518518518517,0.345109716771885,-202.10863469551145,-0.00012995892445367087
44,DEH,4,length_inter,pv,0.020894003655857772,1.0,0.44117974439239976,0.07300669948368099,0.44117974439239976
45,DEH,4,length_inter,effect,-0.01852863730717648,0.0,0.48739996468914115,-410.64368290058496,-0.00013002656474211984
46,DEH,6,length_inter,pv,0.34823648384782685,0.5765796640992661,0.8604587258709409,0.34823648384782685,0.5765796640992661
47,DEH,6,length_inter,effect,-0.009980294172682024,-0.2222222222222222,0.09773587943573624,-601.86562194263,-0.00013004992687112477
48,DEN,1,length_inter,pv,0.2085057758166894,0.014416368985009566,0.8002235771398277,0.020920663693704766,0.020920663693704766
49,DEN,1,length_inter,effect,-0.008539593517195142,0.38636363636363635,-0.08548787026590046,-67.74616156065993,-0.00015347397933076484
50,DEN,2,length_inter,pv,0.05829234262593249,0.05829234262593249,0.47840597533687096,0.05829234262593249,0.05829234262593249
51,DEN,2,length_inter,effect,-0.015414998028361248,0.3333333333333333,-0.35436765210279253,-131.63741919639006,-0.00015350642609748136
52,DEN,4,length_inter,pv,0.16744104956228045,0.02185961084179104,0.06161322304168845,0.17918007314870624,0.16744104956228045
53,DEN,4,length_inter,effect,-0.012720732736024781,0.5757575757575758,-1.1001960328750435,-229.77046953501534,-0.00015355551516765993
54,DEN,6,length_inter,pv,0.43091862764961364,0.6827003755925714,0.43091862764961364,0.43091862764961364,0.43091862764961364
55,DEN,6,length_inter,effect,-0.011017158184652773,-0.09090909090909091,-0.6774271642403595,-343.4610987180646,-0.0001534464773177316
56,MOD,1,length_inter,pv,0.10084871903502005,1.1265624186119082e-06,0.005257415890372834,1.958444759050642e-05,0.5464901189064497
57,MOD,1,length_inter,effect,-0.011929610727948545,0.5757575757575758,0.8725925936710116,-122.37804574633938,-3.387974351072563e-05
58,MOD,2,length_inter,pv,0.2498652635076867,0.008320174464638123,0.7567278048549526,0.001581368932279258,0.7567278048549526
59,MOD,2,length_inter,effect,-0.01182463326189808,0.4393939393939394,0.1250120803789339,-239.64232486991668,-3.382423466075215e-05
60,MOD,4,length_inter,pv,0.6943299926704374,0.7414177757042413,0.5221374940777914,0.04885116061070269,0.7414177757042413
61,MOD,4,length_inter,effect,-0.006895166767213531,0.09090909090909091,0.6186096597628006,-432.06706759408905,-3.377601469418153e-05
62,MOD,6,length_inter,pv,0.8120964692319463,0.8120964692319463,0.8120964692319463,0.1752215165895462,0.8120964692319463
63,MOD,6,length_inter,effect,-0.005227106517771336,0.09090909090909091,0.14976375146661533,-623.4974000200259,-3.3751365722858555e-05
