G6,density,degree_heterogeneity,diameter,meshedness,entrance_degree,entrance_centrality,clustering,modularity
MUCG?M??C?_g?B?O?,0.16483516483516483,1.2653061224489797,6,0.08695652173913043,4,0.3974358974358974,0.05952380952380952,0.4066666666666667
MUC?WI??C?_g?A?@_,0.16483516483516483,0.8367346938775511,6,0.08695652173913043,4,0.4615384615384615,0.11904761904761904,0.48
MUC?WE??C?__?A?P_,0.16483516483516483,0.8367346938775511,5,0.08695652173913043,4,0.42948717948717946,0.0,0.45333333333333325
MUC?OM??C?_g?A?O_,0.16483516483516483,0.9795918367346939,6,0.08695652173913043,4,0.42948717948717946,0.1547619047619048,0.48
MU?WOI??C?_h?@??_,0.16483516483516483,1.4081632653061225,5,0.08695652173913043,4,0.34615384615384615,0.09523809523809525,0.4066666666666666
MU?WOE??C?_`?@?O_,0.16483516483516483,0.8367346938775511,6,0.08695652173913043,4,0.34615384615384615,0.0,0.4066666666666667
MU?WGI??C?_h?@?@?,0.16483516483516483,2.2653061224489797,4,0.08695652173913043,4,0.34615384615384615,0.08571428571428573,0.3977777777777778
MU?WGE??C?_`?@?P?,0.16483516483516483,1.4081632653061225,5,0.08695652173913043,4,0.34615384615384615,0.0,0.4066666666666667
MU?W?M??C?_h?@?O?,0.16483516483516483,1.836734693877551,5,0.08695652173913043,4,0.34615384615384615,0.03571428571428571,0.4066666666666667
MU?OWI??C?_h???@_,0.16483516483516483,1.4081632653061225,5,0.08695652173913043,4,0.34615384615384615,0.09523809523809525,0.4066666666666666
MU?OWE??C?_`???P_,0.16483516483516483,1.1224489795918366,5,0.08695652173913043,4,0.34615384615384615,0.0,0.4
MU?OOM??C?_h???O_,0.16483516483516483,1.2653061224489797,6,0.08695652173913043,4,0.34615384615384615,0.05952380952380952,0.4066666666666667
MYE?OI??G?og?A??_,0.16483516483516483,0.5510204081632653,10,0.08695652173913043,4,0.7051282051282051,0.17857142857142858,0.5266666666666666
MYE?OE??G?o_?A?O_,0.16483516483516483,0.26530612244897955,7,0.08695652173913043,4,0.4423076923076923,0.1547619047619048,0.48
MYE?GE??G?o_?A?P?,0.16483516483516483,0.5510204081632653,8,0.08695652173913043,4,0.717948717948718,0.05952380952380952,0.47333333333333333
MYE?GI??G?og?A?@?,0.16483516483516483,1.1224489795918366,8,0.08695652173913043,4,0.717948717948718,0.13095238095238096,0.451111111111111
MYE??M??G?og?A?O?,0.16483516483516483,0.9795918367346939,8,0.08695652173913043,4,0.717948717948718,0.11904761904761904,0.47333333333333333
MYAGOI??G?og?@??_,0.16483516483516483,1.1224489795918366,6,0.08695652173913043,4,0.6538461538461539,0.13095238095238096,0.43999999999999995
MYAGOE??G?o_?@?O_,0.16483516483516483,0.5510204081632653,7,0.08695652173913043,4,0.6538461538461539,0.05952380952380952,0.4555555555555556
MYAGGI??G?og?@?@?,0.16483516483516483,1.9795918367346939,6,0.08695652173913043,4,0.6538461538461539,0.11190476190476191,0.4044444444444445
MYAGGE??G?o_?@?P?,0.16483516483516483,1.1224489795918366,6,0.08695652173913043,4,0.6538461538461539,0.03571428571428571,0.39777777777777784
MYAG?M??G?og?@?O?,0.16483516483516483,1.5510204081632653,6,0.08695652173913043,4,0.6538461538461539,0.07142857142857142,0.39777777777777784
MYA?WI??G?og???@_,0.16483516483516483,1.1224489795918366,6,0.08695652173913043,4,0.6538461538461539,0.13095238095238096,0.43999999999999995
