,rep,exp,start,time_win,h,nest_focus,max_gap,GC,ants,cMOD_communities,cmpMOD_communities,c3pMOD_communities,cMODres09_communities,MOD,cMOD,c3pMOD,cmpMOD,DEN,wDEN,DIA,wDIA,RAD,wRAD,DEH,cDEH,wDEH,cwDEH,CLS
993,24,DEHa,2021-10-13 21:00:00,10800,21,False,10,181,181,"[98, 83]","[96, 82, 1, 1, 1]","[97, 83, 1]","[99, 82]",0.22511655981062037,0.22511655981062037,0.225064700251813,0.22476975830658327,0.7494782074892572,0.0004834652024645886,2,0.23394598888887352,2,0.1339459888888735,28.336514065145398,28.336514065145398,357.45429151981125,357.45429151981125,0.051677089970106796
1037,24,DEHb,2021-10-11 21:00:00,10800,21,False,10,182,182,"[100, 79, 3]","[99, 79, 2, 1, 1]","[100, 79, 3]","[101, 81]",0.26028142815010435,0.26028142815010435,0.26028142815010435,0.2599893976887792,0.7199927144678526,0.0004497748006035299,2,0.2183062880324544,2,0.13333333333333333,26.738817780205945,26.738817780205945,258.586725401359,258.586725401359,0.05369053713281688
1087,25,DEHa,2021-10-16 00:00:00,10800,0,False,10,181,181,"[110, 71]","[107, 71, 1, 1, 1]","[109, 71, 1]","[110, 71]",0.19609308181962312,0.19609308181962312,0.19605523827169027,0.19570128476457324,0.8212400245549417,0.0005503319464338494,2,0.195027195027195,1,0.13144257703081233,23.243883831839437,23.243883831839437,368.29055359893704,368.29055359893704,0.0797760576610524
1131,25,DEHb,2021-10-18 00:00:00,10800,0,False,10,179,179,"[103, 76]","[102, 74, 1, 1, 1]","[102, 76, 1]","[101, 78]",0.23483106919759342,0.23483106919759342,0.2347579641772713,0.23444797149489785,0.7135773021153725,0.0004202033305667729,2,0.22406569465392995,1,0.14468211527035058,29.968414445233623,29.968414445233623,305.5265878195765,305.5265878195765,0.04676465745707422
1093,25,DEHa,2021-10-16 03:00:00,10800,3,False,10,181,181,"[100, 81]","[99, 79, 1, 1, 1]","[100, 80, 1]","[105, 76]",0.17721912336545995,0.17721912336545995,0.1771870264265715,0.17690744679514378,0.8222836095764272,0.0005619216515471887,2,0.2124159365538676,1,0.1259018759018759,23.501496120301685,23.501496120301685,409.94623318819026,409.94623318819026,0.07431220126021558
1137,25,DEHb,2021-10-18 03:00:00,10800,3,False,10,179,179,"[98, 81]","[96, 80, 1, 1, 1]","[97, 81, 1]","[101, 78]",0.18608510949612309,0.18608510949612309,0.1860393399039529,0.18580388881347515,0.784131567384345,0.0004700944117804327,2,0.22746094485224921,1,0.13333333333333333,26.414162851131962,26.414162851131962,340.0397848383797,340.0397848383797,0.05564760382772229
1099,25,DEHa,2021-10-16 06:00:00,10800,6,False,10,181,181,"[105, 67, 9]","[104, 67, 8, 1, 1]","[105, 67, 9]","[115, 66]",0.19738409715222796,0.19738409715222796,0.19738409715222796,0.19708863359884152,0.7648864333947207,0.0005014039515267262,2,0.20064666007870877,1,0.11559139784946236,27.12539068279291,27.12539068279291,362.59893475452947,362.59893475452947,0.07413480187793836
1143,25,DEHb,2021-10-18 06:00:00,10800,6,False,10,179,179,"[103, 76]","[100, 76, 1, 1, 1]","[102, 76, 1]","[103, 76]",0.20807607415428253,0.20807607415428253,0.20803096757293893,0.20779155117772838,0.7581444981482643,0.0004542215619674662,2,0.28713041344620294,2,0.16025641025641024,28.94384347907115,28.94384347907115,353.1727872212933,353.1727872212933,0.061400072017669345
1081,25,DEHa,2021-10-15 21:00:00,10800,21,False,10,181,181,"[67, 58, 32, 24]","[66, 58, 32, 24, 1]","[82, 67, 32]","[103, 67, 11]",0.21719118747841715,0.21719118747841715,0.21345353250654833,0.21689090148271647,0.7020871700429712,0.0004457574517427188,2,0.2242063492063492,1,0.12955465587044535,30.25603935317279,30.25603935317279,345.0214722390094,345.0214722390094,0.042272611697269445
1125,25,DEHb,2021-10-17 21:00:00,10800,21,False,10,179,179,"[91, 80, 8]","[90, 80, 7, 1, 1]","[91, 80, 8]","[94, 85]",0.23331594838671427,0.23331594838671427,0.23331594838671427,0.23299844174029352,0.7066097545665683,0.0004205811171789453,2,0.2204623878536922,2,0.13025210084033612,31.440913942936156,31.440913942936156,328.90779673560814,328.90779673560814,0.043670220582754736
